Treasure Class	group	level	Picks	Unique	Set	Rare	Magic	NoDrop	Item1	Prob1	Item2	Prob2	Item3	Prob3	Item4	Prob4	Item5	Prob5	Item6	Prob6	Item7	Prob7	Item8	Prob8	Item9	Prob9	Item10	Prob10	SumItems	TotalProb	DropChance	Term
Act 3 (H) Bow A	3	75	6	1020	1024	1020			bow57	1	bow60	2	bow63	5	bow66	7	bow69	8	bow72	7	bow75	4	bow78	2	Act 2 (H) Bow B	2270			36	2306	0.9844	0
Act 3 (H) Bow B	3	77	6	1020	1024	1020			bow60	1	bow63	2	bow66	5	bow69	7	bow72	8	bow75	7	bow78	4	bow81	2	Act 3 (H) Bow A	2270			36	2306	0.9844	0
Act 4 (H) Bow A	3	79	6	1020	1024	1020			bow63	1	bow66	2	bow69	5	bow72	7	bow75	8	bow78	7	bow81	4	bow84	2	Act 3 (H) Bow B	2270			36	2306	0.9844	0
Act 4 (H) Bow B	3	80	6	1020	1024	1020			bow66	1	bow69	2	bow72	5	bow75	7	bow78	8	bow81	7	bow84	2	bow84	1	Act 4 (H) Bow A	2080			33	2113	0.9844	0
Act 5 (H) Bow A	3	82	6	1020	1024	1020			bow69	1	bow72	2	bow75	5	bow78	7	bow81	8	bow84	7	bow87	2	bow87	1	Act 4 (H) Bow B	2080			33	2113	0.9844	0
Act 5 (H) Bow B	3	83	6	1020	1024	1020			bow72	1	bow75	2	bow78	5	bow81	7	bow84	8	bow87	7	bow87	2	bow87	1	Act 5 (H) Bow A	2080			33	2113	0.9844	0
Act 5 (H) Bow C	3	85	6	1020	1024	1020			bow75	1	bow78	2	bow81	5	bow84	7	bow87	8	bow87	1	bow87	1	bow87	1	Act 5 (H) Bow B	1655			26	1681	0.9845	0
Act 1 Magic A	4	0	6	1020	1024	1020			tsc	2	setitems	5	setitems	5	setitems	5																0
Act 1 Magic B	4	5	6	1020	1024	1020			tsc	2	setitems	5	setitems	5	setitems	5																0
Act 1 Magic C	4	9	6	1020	1024	1020			tsc	2	setitems	5	setitems	5	setitems	5																0
Act 2 Magic A	4	12	6	1020	1024	1020			tsc	2	setitems	5	setitems	5	setitems	5	setitems	5														0
Act 2 Magic B	4	15	6	1020	1024	1020			tsc	2	setitems	5	setitems	5	setitems	5	setitems	5														0
Act 2 Magic C	4	18	6	1020	1024	1020			tsc	2	setitems	5	setitems	5	setitems	5	setitems	5														0
Act 3 Magic A	4	20	6	1020	1024	1020			tsc	2	setitems	5	setitems	5	setitems	5																0
Act 3 Magic B	4	22	6	1020	1024	1020			tsc	2	setitems	5	setitems	5	setitems	5																0
Act 3 Magic C	4	24	6	1020	1024	1020			tsc	2	setitems	5	setitems	5	setitems	5	setitems	5														0
Act 4 Magic A	4	26	6	1020	1024	1020			tsc	2	setitems	5	setitems	5	setitems	5	setitems	5														0
Act 4 Magic B	4	29	6	1020	1024	1020			tsc	2	setitems	5	setitems	5	setitems	5																0
Act 5 Magic A	4	32	6	1020	1024	1020			tsc	2	setitems	5	setitems	5	setitems	5																0
Act 5 Magic B	4	34	6	1020	1024	1020			tsc	2	setitems	5	setitems	5	setitems	5																0
Act 5 Magic C	4	36	6	1020	1024	1020			tsc	2	setitems	5	setitems	5	setitems	5																0
Act 1 (N) Magic A	4	38	6	1020	1024	1020			tsc	2	setitems	5	setitems	5	setitems	5																0
Act 1 (N) Magic B	4	40	6	1020	1024	1020			tsc	2	setitems	5	setitems	5	setitems	5																0
Act 2 (N) Magic A	4	42	6	1020	1024	1020			tsc	2	setitems	5	setitems	5	setitems	5																0
Act 2 (N) Magic B	4	44	6	1020	1024	1020			tsc	2	setitems	5	setitems	5	setitems	5																0
Act 3 (N) Magic A	4	46	6	1020	1024	1020			tsc	2	setitems	5	setitems	5	setitems	5																0
Act 3 (N) Magic B	4	48	6	1020	1024	1020			tsc	2	setitems	5	setitems	5	setitems	5																0
Act 4 (N) Magic A	4	51	6	1020	1024	1020			tsc	2	setitems	5	setitems	5	setitems	5																0
Act 4 (N) Magic B	4	54	6	1020	1024	1020			tsc	2	setitems	5	setitems	5	setitems	5																0
Act 5 (N) Magic A	4	57	6	1020	1024	1020			tsc	2	setitems	5	setitems	5	setitems	5																0
Act 5 (N) Magic B	4	60	6	1020	1024	1020			tsc	2	setitems	5	setitems	5	setitems	5																0
Act 5 (N) Magic C	4	63	6	1020	1024	1020			tsc	2	setitems	5	setitems	5	setitems	5																0
Act 1 (H) Magic A	4	66	6	1020	1024	1020			tsc	2	setitems	5	setitems	5	setitems	5																0
Act 1 (H) Magic B	4	69	6	1020	1024	1020			tsc	2	setitems	5	setitems	5	setitems	5																0
Act 2 (H) Magic A	4	71	6	1020	1024	1020			tsc	2	setitems	5	setitems	5	setitems	5																0
Act 2 (H) Magic B	4	73	6	1020	1024	1020			tsc	2	setitems	5	setitems	5	setitems	5																0
Act 3 (H) Magic A	4	75	6	1020	1024	1020			tsc	2	setitems	5	setitems	5	setitems	5																0
Act 3 (H) Magic B	4	77	6	1020	1024	1020			tsc	2	setitems	5	setitems	5	setitems	5																0
Act 4 (H) Magic A	4	79	6	1020	1024	1020			tsc	2	setitems	5	setitems	5	setitems	5																0
Act 4 (H) Magic B	4	80	6	1020	1024	1020			tsc	2	setitems	5	setitems	5	setitems	5																0
Act 5 (H) Magic A	4	82	6	1020	1024	1020			tsc	2	setitems	5	setitems	5	setitems	5																0
Act 5 (H) Magic B	4	83	6	1020	1024	1020			tsc	2	setitems	5	setitems	5	setitems	5																0
Act 5 (H) Magic C	4	85	6	1020	1024	1020			tsc	2	setitems	5	setitems	5	setitems	5																0
Act 1 Good	5	0	6	1020	1024	1020			Jewelry A	5	Chipped Gem	5																				0
Act 2 Good	5	12	6	1020	1024	1020			Jewelry B	20	Chipped Gem	12	Flawed Gem	4	Runes 1	3	Runes 2	3														0
Act 3 Good	5	18	6	1020	1024	1020			Jewelry C	20	Chipped Gem	8	Flawed Gem	8	Runes 3	3	Runes 4	3														0
Act 4 Good	5	26	6	1020	1024	1020			Jewelry C	50	Chipped Gem	14	Flawed Gem	28	Normal Gem	42	Runes 5	14	Runes 6	7												0
Act 5 Good	5	32	6	1020	1024	1020			Jewelry C	50	Chipped Gem	6	Flawed Gem	8	Normal Gem	24	Flawless Gem	4	Runes 7	10												0
Act 1 (N) Good	5	38	6	1020	1024	1020			Jewelry C	60	Chipped Gem	6	Flawed Gem	8	Normal Gem	28	Flawless Gem	14	Runes 8	14												0
Act 2 (N) Good	5	42	6	1020	1024	1020			Jewelry C	60	Chipped Gem	4	Flawed Gem	10	Normal Gem	14	Flawless Gem	28	Runes 9	14												0
Act 3 (N) Good	5	46	6	1020	1024	1020			Jewelry C	60	Chipped Gem	4	Flawed Gem	10	Normal Gem	14	Flawless Gem	28	Runes 10	14												0
Act 4 (N) Good	5	51	6	1020	1024	1020			Jewelry C	60	Chipped Gem	4	Flawed Gem	10	Normal Gem	14	Flawless Gem	28	Runes 11	14												0
Act 5 (N) Good	5	57	6	1020	1024	1020			Jewelry C	60	Chipped Gem	4	Flawed Gem	10	Normal Gem	14	Flawless Gem	28	Runes 12	14												0
Act 1 (H) Good	5	66	6	1020	1024	1020			Jewelry C	60	Chipped Gem	4	Flawed Gem	10	Normal Gem	14	Flawless Gem	28	Runes 13	14												0
Act 2 (H) Good	5	72	6	1020	1024	1020			Jewelry C	60	Chipped Gem	4	Flawed Gem	10	Normal Gem	14	Flawless Gem	28	Runes 14	14												0
Act 3 (H) Good	5	78	6	1020	1024	1020			Jewelry C	60	Chipped Gem	4	Flawed Gem	10	Normal Gem	14	Flawless Gem	28	Runes 15	14												0
Act 4 (H) Good	5	82	6	1020	1024	1020			Jewelry C	60	Chipped Gem	4	Flawed Gem	10	Normal Gem	14	Flawless Gem	28	Runes 16	14												0
Act 5 (H) Good	5	85	6	1020	1024	1020			Jewelry C	60	Chipped Gem	4	Flawed Gem	10	Normal Gem	14	Flawless Gem	28	Runes 17	14												0
Act 1 Chest A	6	0	6	1020	1024	1020			gld	15	Act 1 Junk	15	Act 1 Equip A	10	Act 1 Good	2	setitems	5														0
Act 1 Chest B	6	5	6	1020	1024	1020			gld	15	Act 1 Junk	15	Act 1 Equip B	10	Act 1 Good	2	setitems	5														0
Act 1 Chest C	6	9	6	1020	1024	1020			gld	15	Act 1 Junk	12	Act 2 Junk	3	Act 1 Equip C	15	Act 1 Good	2	setitems	5												0
Act 2 Chest A	6	12	6	1020	1024	1020			gld	15	Act 2 Junk	15	Act 2 Equip A	10	Act 2 Good	2	setitems	5														0
Act 2 Chest B	6	15	6	1020	1024	1020			gld	15	Act 2 Junk	15	Act 2 Equip B	10	Act 2 Good	2	setitems	5														0
Act 2 Chest C	6	18	6	1020	1024	1020			gld	15	Act 2 Junk	12	Act 3 Junk	3	Act 2 Equip C	15	Act 2 Good	2	setitems	5												0
Act 3 Chest A	6	20	6	1020	1024	1020			gld	15	Act 3 Junk	15	Act 3 Equip A	10	Act 3 Good	2	setitems	5														0
Act 3 Chest B	6	22	6	1020	1024	1020			gld	15	Act 3 Junk	15	Act 3 Equip B	10	Act 3 Good	2	setitems	5														0
Act 3 Chest C	6	24	6	1020	1024	1020			gld	15	Act 3 Junk	15	Act 3 Equip C	10	Act 3 Good	2	setitems	5														0
Act 4 Chest A	6	26	6	1020	1024	1020			gld	15	Act 4 Junk	15	Act 4 Equip A	10	Act 4 Good	2	setitems	5														0
Act 4 Chest B	6	28	6	1020	1024	1020			gld	15	Act 4 Junk	15	Act 4 Equip B	10	Act 4 Good	2	setitems	5														0
Act 4 Chest C	6	30	6	1020	1024	1020			gld	15	Act 4 Junk	15	Act 4 Equip B	10	Act 4 Good	2	setitems	5														0
Act 5 Chest A	6	32	6	1020	1024	1020			gld	15	Act 5 Junk	15	Act 5 Equip A	10	Act 5 Good	2	setitems	5														0
Act 5 Chest B	6	34	6	1020	1024	1020			gld	15	Act 5 Junk	15	Act 5 Equip B	10	Act 5 Good	2	setitems	5														0
Act 5 Chest C	6	36	6	1020	1024	1020			gld	15	Act 5 Junk	15	Act 5 Equip B	10	Act 5 Good	2	setitems	5														0
Act 1 (N) Chest A	6	38	6	1020	1024	1020			gld	15	Act 1 (N) Junk	15	Act 1 (N) Equip A	10	Act 1 (N) Good	2	setitems	5														0
Act 1 (N) Chest B	6	40	6	1020	1024	1020			gld	15	Act 1 (N) Junk	15	Act 1 (N) Equip B	10	Act 1 (N) Good	2	setitems	5														0
Act 1 (N) Chest C	6	42	6	1020	1024	1020			gld	15	Act 1 (N) Junk	15	Act 1 (N) Equip B	10	Act 1 (N) Good	2	setitems	5														0
Act 2 (N) Chest A	6	44	6	1020	1024	1020			gld	15	Act 2 (N) Junk	15	Act 2 (N) Equip A	10	Act 2 (N) Good	2	setitems	5														0
Act 2 (N) Chest B	6	46	6	1020	1024	1020			gld	15	Act 2 (N) Junk	15	Act 2 (N) Equip B	10	Act 2 (N) Good	2	setitems	5														0
Act 2 (N) Chest C	6	48	6	1020	1024	1020			gld	15	Act 2 (N) Junk	15	Act 2 (N) Equip B	10	Act 2 (N) Good	2	setitems	5														0
Act 3 (N) Chest A	6	50	6	1020	1024	1020			gld	15	Act 3 (N) Junk	15	Act 3 (N) Equip A	10	Act 3 (N) Good	2	setitems	5														0
Act 3 (N) Chest B	6	52	6	1020	1024	1020			gld	15	Act 3 (N) Junk	15	Act 3 (N) Equip B	10	Act 3 (N) Good	2	setitems	5														0
Act 3 (N) Chest C	6	54	6	1020	1024	1020			gld	15	Act 3 (N) Junk	15	Act 3 (N) Equip B	10	Act 3 (N) Good	2	setitems	5														0
Act 4 (N) Chest A	6	56	6	1020	1024	1020			gld	15	Act 4 (N) Junk	15	Act 4 (N) Equip A	10	Act 4 (N) Good	2	setitems	5														0
Act 4 (N) Chest B	6	58	6	1020	1024	1020			gld	15	Act 4 (N) Junk	15	Act 4 (N) Equip B	10	Act 4 (N) Good	2	setitems	5														0
Act 4 (N) Chest C	6	60	6	1020	1024	1020			gld	15	Act 4 (N) Junk	15	Act 4 (N) Equip C	10	Act 4 (N) Good	2	setitems	5														0
Act 5 (N) Chest A	6	62	6	1020	1024	1020			gld	15	Act 5 (N) Junk	15	Act 5 (N) Equip A	10	Act 5 (N) Good	2	setitems	5														0
Act 5 (N) Chest B	6	64	6	1020	1024	1020			gld	15	Act 5 (N) Junk	15	Act 5 (N) Equip B	10	Act 5 (N) Good	2	setitems	5														0
Act 5 (N) Chest C	6	66	6	1020	1024	1020			gld	15	Act 5 (N) Junk	15	Act 5 (N) Equip B	10	Act 5 (N) Good	2	setitems	5														0
Act 1 (H) Chest A	6	68	6	1020	1024	1020			gld	15	Act 1 (H) Junk	15	Act 1 (H) Equip A	10	Act 1 (H) Good	2	setitems	5														0
Act 1 (H) Chest B	6	70	6	1020	1024	1020			gld	15	Act 1 (H) Junk	15	Act 1 (H) Equip B	10	Act 1 (H) Good	2	setitems	5														0
Act 1 (H) Chest C	6	71	6	1020	1024	1020			gld	15	Act 1 (H) Junk	15	Act 1 (H) Equip B	10	Act 1 (H) Good	2	setitems	5														0
Act 2 (H) Chest A	6	72	6	1020	1024	1020			gld	15	Act 2 (H) Junk	15	Act 2 (H) Equip A	10	Act 2 (H) Good	2	setitems	5														0
Act 2 (H) Chest B	6	74	6	1020	1024	1020			gld	15	Act 2 (H) Junk	15	Act 2 (H) Equip B	10	Act 2 (H) Good	2	setitems	5														0
Act 2 (H) Chest C	6	75	6	1020	1024	1020			gld	15	Act 2 (H) Junk	15	Act 2 (H) Equip B	10	Act 2 (H) Good	2	setitems	5														0
Act 3 (H) Chest A	6	76	6	1020	1024	1020			gld	15	Act 3 (H) Junk	15	Act 3 (H) Equip A	10	Act 3 (H) Good	2	setitems	5														0
Act 3 (H) Chest B	6	78	6	1020	1024	1020			gld	15	Act 3 (H) Junk	15	Act 3 (H) Equip B	10	Act 3 (H) Good	2	setitems	5														0
Act 3 (H) Chest C	6	79	6	1020	1024	1020			gld	15	Act 3 (H) Junk	15	Act 3 (H) Equip B	10	Act 3 (H) Good	2	setitems	5														0
Act 4 (H) Chest A	6	80	6	1020	1024	1020			gld	15	Act 4 (H) Junk	15	Act 4 (H) Equip A	10	Act 4 (H) Good	2	setitems	5														0
Act 4 (H) Chest B	6	81	6	1020	1024	1020			gld	15	Act 4 (H) Junk	15	Act 4 (H) Equip B	10	Act 4 (H) Good	2	setitems	5														0
Act 4 (H) Chest C	6	82	6	1020	1024	1020			gld	15	Act 4 (H) Junk	15	Act 4 (H) Equip B	10	Act 4 (H) Good	2	setitems	5														0
Act 5 (H) Chest A	6	83	6	1020	1024	1020			gld	15	Act 5 (H) Junk	15	Act 5 (H) Equip A	10	Act 5 (H) Good	2	setitems	5														0
Act 5 (H) Chest B	6	84	6	1020	1024	1020			gld	15	Act 5 (H) Junk	15	Act 5 (H) Equip B	10	Act 5 (H) Good	2	setitems	5														0
Act 5 (H) Chest C	6	85	6	1020	1024	1020			gld	15	Act 5 (H) Junk	15	Act 5 (H) Equip B	10	Act 5 (H) Good	2	setitems	5														0
Act 1 H2H A	7	0	6	1020	1024	1020			gld	21	Act 1 Equip A	16	Act 1 Junk	21	Act 1 Good	2																0
Act 1 H2H B	7	5	6	1020	1024	1020			gld	21	Act 1 Equip B	16	Act 1 Junk	21	Act 1 Good	2																0
Act 1 H2H C	7	9	6	1020	1024	1020			gld	21	Act 1 Equip C	16	Act 1 Junk	21	Act 1 Good	2																0
Act 2 H2H A	7	12	6	1020	1024	1020			gld	21	Act 2 Equip A	16	Act 2 Junk	21	Act 2 Good	2																0
Act 2 H2H B	7	15	6	1020	1024	1020			gld	21	Act 2 Equip B	16	Act 2 Junk	21	Act 2 Good	2																0
Act 2 H2H C	7	18	6	1020	1024	1020			gld	21	Act 2 Equip C	16	Act 2 Junk	21	Act 3 Good	2																0
Act 3 H2H A	7	20	6	1020	1024	1020			gld	21	Act 3 Equip A	16	Act 3 Junk	21	Act 3 Good	2																0
Act 3 H2H B	7	22	6	1020	1024	1020			gld	21	Act 3 Equip B	16	Act 3 Junk	21	Act 3 Good	2																0
Act 3 H2H C	7	24	6	1020	1024	1020			gld	21	Act 3 Equip C	16	Act 3 Junk	21	Act 3 Good	2																0
Act 4 H2H A	7	26	6	1020	1024	1020			gld	21	Act 4 Equip A	16	Act 4 Junk	21	Act 4 Good	2																0
Act 4 H2H B	7	29	6	1020	1024	1020			gld	21	Act 4 Equip B	16	Act 4 Junk	21	Act 4 Good	2																0
Act 5 H2H A	7	32	6	1020	1024	1020			gld	21	Act 5 Equip A	16	Act 5 Junk	21	Act 5 Good	2																0
Act 5 H2H B	7	34	6	1020	1024	1020			gld	21	Act 5 Equip B	16	Act 5 Junk	21	Act 5 Good	2																0
Act 5 H2H C	7	36	6	1020	1024	1020			gld	21	Act 5 Equip C	16	Act 5 Junk	21	Act 5 Good	2																0
Act 1 (N) H2H A	7	38	6	1020	1024	1020			gld	21	Act 1 (N) Equip A	16	Act 1 (N) Junk	21	Act 1 (N) Good	2																0
Act 1 (N) H2H B	7	40	6	1020	1024	1020			gld	21	Act 1 (N) Equip B	16	Act 1 (N) Junk	21	Act 1 (N) Good	2																0
Act 1 (N) H2H C	7	41	6	1020	1024	1020			gld	21	Act 1 (N) Equip B	16	Act 1 (N) Junk	21	Act 1 (N) Good	2																0
Act 2 (N) H2H A	7	42	6	1020	1024	1020			gld	21	Act 2 (N) Equip A	16	Act 2 (N) Junk	21	Act 2 (N) Good	2																0
Act 2 (N) H2H B	7	44	6	1020	1024	1020			gld	21	Act 2 (N) Equip B	16	Act 2 (N) Junk	21	Act 2 (N) Good	2																0
Act 2 (N) H2H C	7	45	6	1020	1024	1020			gld	21	Act 2 (N) Equip B	16	Act 2 (N) Junk	21	Act 2 (N) Good	2																0
Act 3 (N) H2H A	7	46	6	1020	1024	1020			gld	21	Act 3 (N) Equip A	16	Act 3 (N) Junk	21	Act 3 (N) Good	2																0
Act 3 (N) H2H B	7	48	6	1020	1024	1020			gld	21	Act 3 (N) Equip B	16	Act 3 (N) Junk	21	Act 3 (N) Good	2																0
Act 3 (N) H2H C	7	50	6	1020	1024	1020			gld	21	Act 3 (N) Equip B	16	Act 3 (N) Junk	21	Act 3 (N) Good	2																0
Act 4 (N) H2H A	7	51	6	1020	1024	1020			gld	21	Act 4 (N) Equip A	16	Act 4 (N) Junk	21	Act 4 (N) Good	2																0
Act 4 (N) H2H B	7	54	6	1020	1024	1020			gld	21	Act 4 (N) Equip B	16	Act 4 (N) Junk	21	Act 4 (N) Good	2																0
Act 5 (N) H2H A	7	57	6	1020	1024	1020			gld	21	Act 5 (N) Equip A	16	Act 5 (N) Junk	21	Act 5 (N) Good	2																0
Act 5 (N) H2H B	7	60	6	1020	1024	1020			gld	21	Act 5 (N) Equip B	16	Act 5 (N) Junk	21	Act 5 (N) Good	2																0
Act 5 (N) H2H C	7	62	6	1020	1024	1020			gld	21	Act 5 (N) Equip C	16	Act 5 (N) Junk	21	Act 5 (N) Good	2																0
Act 1 (H) H2H A	7	63	6	1020	1024	1020			gld	21	Act 1 (H) Equip A	16	Act 1 (H) Junk	21	Act 1 (H) Good	2																0
Act 1 (H) H2H B	7	66	6	1020	1024	1020			gld	21	Act 1 (H) Equip B	16	Act 1 (H) Junk	21	Act 1 (H) Good	2																0
Act 1 (H) H2H C	7	68	6	1020	1024	1020			gld	21	Act 1 (H) Equip B	16	Act 1 (H) Junk	21	Act 1 (H) Good	2																0
Act 2 (H) H2H A	7	69	6	1020	1024	1020			gld	21	Act 2 (H) Equip A	16	Act 1 (H) Junk	21	Act 2 (H) Good	2																0
Act 2 (H) H2H B	7	71	6	1020	1024	1020			gld	21	Act 2 (H) Equip B	16	Act 1 (H) Junk	21	Act 2 (H) Good	2																0
Act 2 (H) H2H C	7	73	6	1020	1024	1020			gld	21	Act 2 (H) Equip B	16	Act 1 (H) Junk	21	Act 2 (H) Good	2																0
Act 3 (H) H2H A	7	74	6	1020	1024	1020			gld	21	Act 3 (H) Equip A	16	Act 1 (H) Junk	21	Act 3 (H) Good	2																0
Act 3 (H) H2H B	7	76	6	1020	1024	1020			gld	21	Act 3 (H) Equip B	16	Act 1 (H) Junk	21	Act 3 (H) Good	2																0
Act 3 (H) H2H C	7	77	6	1020	1024	1020			gld	21	Act 3 (H) Equip B	16	Act 1 (H) Junk	21	Act 3 (H) Good	2																0
Act 4 (H) H2H A	7	79	6	1020	1024	1020			gld	21	Act 4 (H) Equip A	16	Act 1 (H) Junk	21	Act 4 (H) Good	2																0
Act 4 (H) H2H B	7	80	6	1020	1024	1020			gld	21	Act 4 (H) Equip B	16	Act 1 (H) Junk	21	Act 4 (H) Good	2																0
Act 5 (H) H2H A	7	82	6	1020	1024	1020			gld	21	Act 5 (H) Equip A	16	Act 1 (H) Junk	21	Act 5 (H) Good	2																0
Act 5 (H) H2H B	7	83	6	1020	1024	1020			gld	21	Act 5 (H) Equip B	16	Act 1 (H) Junk	21	Act 5 (H) Good	2																0
Act 5 (H) H2H C	7	85	6	1020	1024	1020			gld	21	Act 5 (H) Equip C	16	Act 1 (H) Junk	21	Act 5 (H) Good	2																0
Act 1 Cast A	8	0	6	1020	1024	1020			gld	18	Act 1 Equip A	15	setitems	5	Act 1 Good	2	Act 1 Magic A	7														0
Act 1 Cast B	8	5	6	1020	1024	1020			gld	18	Act 1 Equip B	15	setitems	5	Act 1 Good	2	Act 1 Magic B	7														0
Act 1 Cast C	8	9	6	1020	1024	1020			gld	18	Act 1 Equip C	15	setitems	5	Act 1 Good	2	Act 1 Magic C	7														0
Act 2 Cast A	8	12	6	1020	1024	1020			gld	18	Act 2 Equip A	15	setitems	5	Act 2 Good	2	Act 2 Magic A	7														0
Act 2 Cast B	8	15	6	1020	1024	1020			gld	18	Act 2 Equip B	15	setitems	5	Act 2 Good	2	Act 2 Magic B	7														0
Act 2 Cast C	8	18	6	1020	1024	1020			gld	18	Act 2 Equip C	15	setitems	5	Act 3 Good	2	Act 2 Magic C	7														0
Act 3 Cast A	8	20	6	1020	1024	1020			gld	18	Act 3 Equip A	15	setitems	5	Act 3 Good	2	Act 3 Magic A	7														0
Act 3 Cast B	8	22	6	1020	1024	1020			gld	18	Act 3 Equip B	15	setitems	5	Act 3 Good	2	Act 3 Magic B	7														0
Act 3 Cast C	8	24	6	1020	1024	1020			gld	18	Act 3 Equip C	15	setitems	5	Act 3 Good	2	Act 3 Magic C	7														0
Act 4 Cast A	8	26	6	1020	1024	1020			gld	18	Act 4 Equip A	15	setitems	5	Act 4 Good	2	Act 4 Magic A	7														0
Act 4 Cast B	8	29	6	1020	1024	1020			gld	18	Act 4 Equip B	15	setitems	5	Act 4 Good	2	Act 4 Magic B	7														0
Act 5 Cast A	8	32	6	1020	1024	1020			gld	18	Act 5 Equip A	15	setitems	5	Act 5 Good	2	Act 5 Magic A	7														0
Act 5 Cast B	8	34	6	1020	1024	1020			gld	18	Act 5 Equip B	15	setitems	5	Act 5 Good	2	Act 5 Magic B	7														0
Act 5 Cast C	8	36	6	1020	1024	1020			gld	18	Act 5 Equip C	15	setitems	5	Act 5 Good	2	Act 5 Magic C	7														0
Act 1 (N) Cast A	8	38	6	1020	1024	1020			gld	18	Act 1 (N) Equip A	15	setitems	5	Act 1 (N) Good	2	Act 1 (N) Magic A	7														0
Act 1 (N) Cast B	8	40	6	1020	1024	1020			gld	18	Act 1 (N) Equip B	15	setitems	5	Act 1 (N) Good	2	Act 1 (N) Magic B	7														0
Act 1 (N) Cast C	8	41	6	1020	1024	1020			gld	18	Act 1 (N) Equip B	15	setitems	5	Act 1 (N) Good	2	Act 1 (N) Magic B	7														0
Act 2 (N) Cast A	8	42	6	1020	1024	1020			gld	18	Act 2 (N) Equip A	15	setitems	5	Act 2 (N) Good	2	Act 2 (N) Magic A	7														0
Act 2 (N) Cast B	8	44	6	1020	1024	1020			gld	18	Act 2 (N) Equip B	15	setitems	5	Act 2 (N) Good	2	Act 2 (N) Magic B	7														0
Act 2 (N) Cast C	8	45	6	1020	1024	1020			gld	18	Act 2 (N) Equip B	15	setitems	5	Act 2 (N) Good	2	Act 2 (N) Magic B	7														0
Act 3 (N) Cast A	8	46	6	1020	1024	1020			gld	18	Act 3 (N) Equip A	15	setitems	5	Act 3 (N) Good	2	Act 3 (N) Magic A	7														0
Act 3 (N) Cast B	8	48	6	1020	1024	1020			gld	18	Act 3 (N) Equip B	15	setitems	5	Act 3 (N) Good	2	Act 3 (N) Magic B	7														0
Act 3 (N) Cast C	8	50	6	1020	1024	1020			gld	18	Act 3 (N) Equip B	15	setitems	5	Act 3 (N) Good	2	Act 3 (N) Magic B	7														0
Act 4 (N) Cast A	8	51	6	1020	1024	1020			gld	18	Act 4 (N) Equip A	15	setitems	5	Act 4 (N) Good	2	Act 4 (N) Magic A	7														0
Act 4 (N) Cast B	8	54	6	1020	1024	1020			gld	18	Act 4 (N) Equip B	15	setitems	5	Act 4 (N) Good	2	Act 4 (N) Magic B	7														0
Act 5 (N) Cast A	8	57	6	1020	1024	1020			gld	18	Act 5 (N) Equip A	15	setitems	5	Act 5 (N) Good	2	Act 5 (N) Magic A	7														0
Act 5 (N) Cast B	8	60	6	1020	1024	1020			gld	18	Act 5 (N) Equip B	15	setitems	5	Act 5 (N) Good	2	Act 5 (N) Magic B	7														0
Act 5 (N) Cast C	8	62	6	1020	1024	1020			gld	18	Act 5 (N) Equip C	15	setitems	5	Act 5 (N) Good	2	Act 5 (N) Magic B	7														0
Act 1 (H) Cast A	8	63	6	1020	1024	1020			gld	18	Act 1 (H) Equip A	15	setitems	5	Act 1 (H) Good	2	Act 1 (H) Magic A	7														0
Act 1 (H) Cast B	8	66	6	1020	1024	1020			gld	18	Act 1 (H) Equip B	15	setitems	5	Act 1 (H) Good	2	Act 1 (H) Magic B	7														0
Act 1 (H) Cast C	8	68	6	1020	1024	1020			gld	18	Act 1 (H) Equip B	15	setitems	5	Act 1 (H) Good	2	Act 1 (H) Magic B	7														0
Act 2 (H) Cast A	8	69	6	1020	1024	1020			gld	18	Act 2 (H) Equip A	15	setitems	5	Act 2 (H) Good	2	Act 2 (H) Magic A	7														0
Act 2 (H) Cast B	8	71	6	1020	1024	1020			gld	18	Act 2 (H) Equip B	15	setitems	5	Act 2 (H) Good	2	Act 2 (H) Magic B	7														0
Act 2 (H) Cast C	8	72	6	1020	1024	1020			gld	18	Act 2 (H) Equip B	15	setitems	5	Act 2 (H) Good	2	Act 2 (H) Magic B	7														0
Act 3 (H) Cast A	8	74	6	1020	1024	1020			gld	18	Act 3 (H) Equip A	15	setitems	5	Act 3 (H) Good	2	Act 3 (H) Magic A	7														0
Act 3 (H) Cast B	8	75	6	1020	1024	1020			gld	18	Act 3 (H) Equip B	15	setitems	5	Act 3 (H) Good	2	Act 3 (H) Magic B	7														0
Act 3 (H) Cast C	8	77	6	1020	1024	1020			gld	18	Act 3 (H) Equip B	15	setitems	5	Act 3 (H) Good	2	Act 3 (H) Magic B	7														0
Act 4 (H) Cast A	8	78	6	1020	1024	1020			gld	18	Act 4 (H) Equip A	15	setitems	5	Act 4 (H) Good	2	Act 4 (H) Magic A	7														0
Act 4 (H) Cast B	8	80	6	1020	1024	1020			gld	18	Act 4 (H) Equip B	15	setitems	5	Act 4 (H) Good	2	Act 4 (H) Magic B	7														0
Act 5 (H) Cast A	8	81	6	1020	1024	1020			gld	18	Act 5 (H) Equip A	15	setitems	5	Act 5 (H) Good	2	Act 5 (H) Magic A	7														0
Act 5 (H) Cast B	8	83	6	1020	1024	1020			gld	18	Act 5 (H) Equip B	15	setitems	5	Act 5 (H) Good	2	Act 5 (H) Magic B	7														0
Act 5 (H) Cast C	8	85	6	1020	1024	1020			gld	18	Act 5 (H) Equip C	15	setitems	5	Act 5 (H) Good	2	Act 5 (H) Magic B	7														0
