name	version	compactsave	rarity	spawnable	minac	maxac	absorbs	speed	reqstr	block	durability	nodurability	level	levelreq	cost	gamble cost	code	namestr	magic lvl	auto prefix	alternategfx	OpenBetaGfx	normcode	ubercode	ultracode	spelloffset	component	invwidth	invheight	hasinv	gemsockets	gemapplytype	flippyfile	invfile	uniqueinvfile	setinvfile	rArm	lArm	Torso	Legs	rSPad	lSPad	useable	throwable	stackable	minstack	maxstack	type	type2	dropsound	dropsfxframe	usesound	unique	transparent	transtbl	quivered	lightradius	belt	quest	missiletype	durwarning	qntwarning	mindam	maxdam	StrBonus	DexBonus	gemoffset	bitfield1	CharsiMin	CharsiMax	CharsiMagicMin	CharsiMagicMax	CharsiMagicLvl	GheedMin	GheedMax	GheedMagicMin	GheedMagicMax	GheedMagicLvl	AkaraMin	AkaraMax	AkaraMagicMin	AkaraMagicMax	AkaraMagicLvl	FaraMin	FaraMax	FaraMagicMin	FaraMagicMax	FaraMagicLvl	LysanderMin	LysanderMax	LysanderMagicMin	LysanderMagicMax	LysanderMagicLvl	DrognanMin	DrognanMax	DrognanMagicMin	DrognanMagicMax	DrognanMagicLvl	HraltiMin	HraltiMax	HraltiMagicMin	HraltiMagicMax	HraltiMagicLvl	AlkorMin	AlkorMax	AlkorMagicMin	AlkorMagicMax	AlkorMagicLvl	OrmusMin	OrmusMax	OrmusMagicMin	OrmusMagicMax	OrmusMagicLvl	ElzixMin	ElzixMax	ElzixMagicMin	ElzixMagicMax	ElzixMagicLvl	AshearaMin	AshearaMax	AshearaMagicMin	AshearaMagicMax	AshearaMagicLvl	CainMin	CainMax	CainMagicMin	CainMagicMax	CainMagicLvl	HalbuMin	HalbuMax	HalbuMagicMin	HalbuMagicMax	HalbuMagicLvl	JamellaMin	JamellaMax	JamellaMagicMin	JamellaMagicMax	JamellaMagicLvl	LarzukMin	LarzukMax	LarzukMagicMin	LarzukMagicMax	LarzukMagicLvl	MalahMin	MalahMax	MalahMagicMin	MalahMagicMax	MalahMagicLvl	DrehyaMin	DrehyaMax	DrehyaMagicMin	DrehyaMagicMax	DrehyaMagicLvl	Source Art	Game Art	Transform	InvTrans	SkipName	NightmareUpgrade	HellUpgrade	mindam	maxdam	nameable
Death Mask	0	0	4	1	54	86	0	0	55	0	30	0	48	25	13895	75475	xsk	xsk			msk	msk	msk	xsk	usk	0	0	2	2	1	3	1	flpmsk	invmsk									0	0	0	0	0	helm		item_helm	12	item_helm	0	0	5	0	0	0	0	0	3	0	0	0			0	3					255					255					255					255					255					255					255					255					255					255					255					255					255					255					255					255					255			1	2	0	xxx	xxx	0	0	1
Ghost Armor	0	0	1	1	102	117	0	0	38	0	30	0	34	22	15576	83880	xui	xui			qlt	qlt	qui	xui	uui	0	1	2	3	1	2	1	flpqlt	invqlt			0	0	0	0	1	1	0	0	0	0	0	tors		item_lightarmor	12	item_lightarmor	0	0	5	0	0	0	0	0	2	0	0	0			0	1					255					255					255					255					255					255					255					255					255					255					255					255					255					255					255					255					255			2	8	0	xxx	xxx	0	0	1
Serpentskin Armor	0	0	2	1	111	126	0	0	43	0	36	0	36	24	17780	94900	xea	xea			lea	lea	lea	xea	uea	0	1	2	3	1	2	1	flplea	invlea			0	0	1	0	1	1	0	0	0	0	0	tors		item_lightarmor	12	item_lightarmor	0	0	5	0	0	0	0	0	2	0	0	0			0	1					255					255					255					255					255					255					255					255					255					255					255					255					255					255					255					255					255			2	8	0	xxx	xxx	0	0	1
Demonhide Armor	0	0	3	1	122	136	0	0	50	0	42	0	37	25	19845	105225	xla	xla			hla	hla	hla	xla	ula	0	1	2	3	1	2	1	flphla	invhla			1	1	1	0	1	1	0	0	0	0	0	tors		item_lightarmor	12	item_lightarmor	0	0	5	0	0	0	0	0	2	0	0	0			0	1					255					255					255					255					255					255					255					255					255					255					255					255					255					255					255					255					255			2	8	0	xxx	xxx	0	0	1
Trellised Armor	0	0	4	1	138	153	0	0	61	0	48	0	40	25	24091	126455	xtu	xtu			stu	stu	stu	xtu	utu	0	1	2	3	1	2	1	flpstu	invstu	invxtuu	invxtuu	1	0	0	1	1	1	0	0	0	0	0	tors		item_lightarmor	12	item_lightarmor	0	0	5	0	0	0	0	0	2	0	0	0			0	1					255					255					255					255					255					255					255					255					255					255					255					255					255					255					255					255					255			2	8	0	xxx	xxx	0	0	1
Linked Mail	0	0	4	1	158	172	0	5	74	0	39	0	42	25	28600	149000	xng	xng			rng	rng	rng	xng	ung	0	1	2	3	1	3	1	flprng	invrng			0	0	1	1	1	1	0	0	0	0	0	tors		item_chainarmor	12	item_chainarmor	0	0	5	0	0	0	0	0	2	0	0	0			0	3					255					255					255					255					255					255					255					255					255					255					255					255					255					255					255					255					255			2	8	0	xxx	xxx	0	0	1
Tigulated Mail	0	0	4	1	176	190	0	10	86	0	54	0	43	25	32421	168105	xcl	xcl			scl	scl	scl	xcl	ucl	0	1	2	3	1	3	1	flpscl	invscl			1	1	1	1	1	1	0	0	0	0	0	tors		item_chainarmor	12	item_chainarmor	0	0	5	0	0	0	0	0	2	0	0	0			0	3					255					255					255					255					255					255					255					255					255					255					255					255					255					255					255					255					255			2	8	0	xxx	xxx	0	0	1
Mesh Armor	0	0	4	1	198	213	0	5	92	0	68	0	45	25	38020	196100	xhn	xhn			chn	chn	chn	xhn	uhn	0	1	2	3	1	3	1	flpchn	invchn			1	1	1	1	2	2	0	0	0	0	0	tors		item_chainarmor	12	item_chainarmor	0	0	5	0	0	0	0	0	2	0	0	0			0	3					255					255					255					255					255					255					255					255					255					255					255					255					255					255					255					255					255			2	8	0	xxx	xxx	0	0	1
Cuirass	0	0	4	1	188	202	1	0	65	0	75	0	47	25	37660	194300	xrs	xrs			brs	brs	brs	xrs	urs	0	1	2	3	1	3	1	flpbrs	invbrs		invxrss	0	0	2	0	2	2	0	0	0	0	0	tors		item_platearmor	12	item_platearmor	0	0	5	0	0	0	0	0	2	0	0	0			0	3					255					255					255					255					255					255					255					255					255					255					255					255					255					255					255					255					255			2	8	0	xxx	xxx	0	0	1
Russet Armor	0	0	4	1	225	243	0	5	97	0	45	0	49	25	47002	241010	xpl	xpl			spl	spl	spl	xpl	upl	0	1	2	3	1	3	1	flpspl	invspl			1	1	2	1	1	1	0	0	0	0	0	tors		item_platearmor	12	item_platearmor	0	0	5	0	0	0	0	0	2	0	0	0			0	3					255					255					255					255					255					255					255					255					255					255					255					255					255					255					255					255					255			2	8	0	xxx	xxx	0	0	1
Templar Coat	0	0	4	1	252	274	0	10	118	0	90	0	52	25	55998	285990	xlt	xlt			plt	plt	plt	xlt	ult	0	1	2	3	1	3	1	flpplt	invplt			2	2	2	2	1	1	0	0	0	0	0	tors		item_platearmor	12	item_platearmor	0	0	5	0	0	0	0	0	2	0	0	0			0	3					255					255					255					255					255					255					255					255					255					255					255					255					255					255					255					255					255			8	8	0	xxx	xxx	0	0	1
Sharktooth Armor	0	0	4	1	242	258	2	5	103	0	72	0	55	25	56137	286685	xld	xld			fld	fld	fld	xld	uld	0	1	2	3	1	3	1	flpfld	invfld			1	1	2	2	2	2	0	0	0	0	0	tors		item_platearmor	12	item_platearmor	0	0	5	0	0	0	0	0	2	0	0	0			0	3					255					255					255					255					255					255					255					255					255					255					255					255					255					255					255					255					255			8	8	0	xxx	xxx	0	0	1
Embossed Plate	0	0	4	1	282	303	0	5	125	0	82	0	58	25	69208	352040	xth	xth			gth	gth	gth	xth	uth	0	1	2	3	1	4	1	flpgth	invgth			2	2	1	2	2	2	0	0	0	0	0	tors		item_platearmor	12	item_platearmor	0	0	5	0	0	0	0	0	2	0	0	0			0	3					255					255					255					255					255					255					255					255					255					255					255					255					255					255					255					255					255			8	8	0	xxx	xxx	0	0	1
Chaos Armor	0	0	4	1	315	342	2	10	140	0	105	0	61	25	81636	414180	xul	xul			ful	ful	ful	xul	uul	0	1	2	3	1	4	1	flpful	invful			2	2	2	2	2	2	0	0	0	0	0	tors		item_platearmor	12	item_platearmor	0	0	5	0	0	0	0	0	2	0	0	0			0	3					255					255					255					255					255					255					255					255					255					255					255					255					255					255					255					255					255			8	8	0	xxx	xxx	0	0	1
Ornate Armor	0	0	4	1	417	450	5	5	170	0	90	0	64	25	112860	570300	xar	xar			aar	aar	aar	xar	uar	0	1	2	3	1	4	1	flpaar	invaar	invxaru	invxaru	1	2	2	2	2	0	0	0	0	0	0	tors		item_platearmor	12	item_platearmor	0	0	5	0	0	0	0	0	2	0	0	0			0	3					255					255					255					255					255					255					255					255					255					255					255					255					255					255					255					255					255			8	8	0	xxx	xxx	0	0	1
Mage Plate	0	0	4	1	225	261	1	0	55	0	90	0	60	25	59504	303520	xtp	xtp			ltp	ltp	ltp	xtp	utp	0	1	2	3	1	3	1	flpltp	invltp			2	0	1	1	2	2	0	0	0	0	0	tors		item_platearmor	12	item_platearmor	0	0	5	0	0	0	0	0	2	0	0	0			0	3					255					255					255					255					255					255					255					255					255					255					255					255					255					255					255					255					255			7	8	0	xxx	xxx	0	0	1
Defender	0	0	2	1	41	49	0	0	38	10	102	0	34	22	6581	38905	xuc	xuc			buc	buc	buc	xuc	uuc	0	7	2	2	1	1	2	flpbuc	invbuc	invbucu	invbucu							0	0	0	0	0	shie		item_woodshield	12	item_woodshield	0	0	5	0	0	0	0	0	1	0	8	12	200		0	3					255					255					255					255					255					255					255					255					255					255					255					255					255					255					255					255					255			8	8	0	xxx	xxx	0	0	1
Round Shield	0	0	3	1	47	55	0	0	53	12	96	0	37	25	8026	46130	xml	xml			buc	buc	sml	xml	uml	0	7	2	2	1	2	2	flpsml	invsml	invxmlu	invxmlu							0	0	0	0	0	shie		item_woodshield	12	item_woodshield	0	0	5	0	0	0	0	0	1	0	7	14	200		0	3					255					255					255					255					255					255					255					255					255					255					255					255					255					255					255					255					255			8	5	0	xxx	xxx	0	0	1
Scutum	0	0	4	1	53	61	0	5	71	14	93	0	42	25	10068	56340	xrg	xrg			lrg	lrg	lrg	xrg	urg	0	7	2	3	1	3	2	flplrg	invlrg	invxrgu	invxrgu							0	0	0	0	0	shie		item_metalshield	12	item_metalshield	0	0	5	0	0	0	0	0	1	0	11	15	200		0	3					255					255					255					255					255					255					255					255					255					255					255					255					255					255					255					255					255			8	2	0	xxx	xxx	0	0	1
Dragon Shield	0	0	4	1	59	67	0	0	91	18	114	0	45	25	11847	65235	xit	xit			kit	kit	kit	xit	uit	0	7	2	3	1	3	2	flpkit	invkit	invkitu	invkitu							0	0	0	0	0	shie		item_metalshield	12	item_metalshield	0	0	5	0	0	0	0	0	1	0	15	24	200		0	3					255					255					255					255					255					255					255					255					255					255					255					255					255					255					255					255					255			8	2	0	xxx	xxx	0	0	1
Pavise	0	0	4	1	68	78	1	10	133	24	108	0	50	25	15075	81375	xow	xow			tow	tow	tow	xow	uow	0	7	2	3	1	3	2	flptow	invtow	invtowu	invtowu							0	0	0	0	0	shie		item_metalshield	12	item_metalshield	0	0	5	0	0	0	0	0	1	0	10	17	200		0	3					255					255					255					255					255					255					255					255					255					255					255					255					255					255					255					255					255			8	2	0	xxx	xxx	0	0	1
Ancient Shield	0	0	4	1	80	93	0	5	110	16	120	0	56	25	19910	105550	xts	xts			kit	kit	gts	xts	uts	0	7	2	4	1	3	2	flpgts	invgts	invgtsu	invgtsu							0	0	0	0	0	shie		item_metalshield	12	item_metalshield	0	0	5	0	0	0	0	0	1	0	12	16	200		0	3					255					255					255					255					255					255					255					255					255					255					255					255					255					255					255					255					255			8	2	0	xxx	xxx	0	0	1
Demonhide Gloves	0	0	1	1	28	35	0	0	20	0	18	0	33	21	4540	28700	xlg	xlg			lgl	lgl	lgl	xlg	ulg	0	16	2	2	0	0	0	flplgl	invlgl									0	0	0	0	0	glov		item_gloves	12	item_gloves	0	0	5	0	0	0	0	0	5	0	0	0			0	1					255					255					255					255					255					255					255					255					255					255					255					255					255					255					255					255					255			0	8	0	xxx	xxx	0	0	1
Sharkskin Gloves	0	0	1	1	33	39	0	0	20	0	21	0	39	25	6010	36050	xvg	xvg			vgl	vgl	vgl	xvg	uvg	0	16	2	2	0	0	0	flpvgl	invvgl									0	0	0	0	0	glov		item_gloves	12	item_gloves	0	0	5	0	0	0	0	0	5	0	0	0			0	1					255					255					255					255					255					255					255					255					255					255					255					255					255					255					255					255					255			0	8	0	xxx	xxx	0	0	1
Heavy Bracers	0	0	2	1	37	44	0	0	58	0	24	0	43	25	7356	42780	xmg	xmg			mgl	mgl	mgl	xmg	umg	0	16	2	2	0	0	0	flpmgl	invmgl									0	0	0	0	0	glov		item_gloveschain	12	item_gloveschain	0	0	5	0	0	0	0	0	5	0	0	0			0	3					255					255					255					255					255					255					255					255					255					255					255					255					255					255					255					255					255			0	8	0	xxx	xxx	0	0	1
Battle Gauntlets	0	0	3	1	39	47	0	0	88	0	27	0	49	25	8756	49780	xtg	xtg			mgl	mgl	tgl	xtg	utg	0	16	2	2	0	0	0	flptgl	invtgl									0	0	0	0	0	glov		item_glovesmetal	12	item_glovesmetal	0	0	5	0	0	0	0	0	5	0	0	0			0	3					255					255					255					255					255					255					255					255					255					255					255					255					255					255					255					255					255			0	8	0	xxx	xxx	0	0	1
War Gauntlets	0	0	4	1	43	53	0	0	110	0	36	0	54	25	10750	59750	xhg	xhg			hgl	hgl	hgl	xhg	uhg	0	16	2	2	0	0	0	flphgl	invhgl									0	0	0	0	0	glov		item_glovesmetal	12	item_glovesmetal	0	0	5	0	0	0	0	0	5	0	0	0			0	3					255					255					255					255					255					255					255					255					255					255					255					255					255					255					255					255					255			0	8	0	xxx	xxx	0	0	1
Demonhide Boots	0	0	1	1	28	35	0	0	20	0	18	0	36	24	4915	30575	xlb	xlb			lbt	lbt	lbt	xlb	ulb	0	16	2	2	0	0	0	flplbt	invlbt									0	0	0	0	0	boot		item_boots	12	item_boots	0	0	5	0	0	0	0	0	6	0	26	46	240		0	1					255					255					255					255					255					255					255					255					255					255					255					255					255					255					255					255					255			0	8	0	xxx	xxx	0	0	1
Sharkskin Boots	0	0	1	1	33	39	0	0	47	0	21	0	39	25	5996	35980	xvb	xvb			vbt	vbt	vbt	xvb	uvb	0	16	2	2	0	0	0	flpvbt	invvbt									0	0	0	0	0	boot		item_boots	12	item_boots	0	0	5	0	0	0	0	0	6	0	28	50	240		0	1					255					255					255					255					255					255					255					255					255					255					255					255					255					255					255					255					255			0	8	0	xxx	xxx	0	0	1
Mesh Boots	0	0	2	1	37	44	0	0	65	0	24	0	43	25	7352	42760	xmb	xmb			mbt	mbt	mbt	xmb	umb	0	16	2	2	0	0	0	flpmbt	invmbt									0	0	0	0	0	boot		item_bootschain	12	item_bootschain	0	0	5	0	0	0	0	0	6	0	23	52	240		0	3					255					255					255					255					255					255					255					255					255					255					255					255					255					255					255					255					255			0	8	0	xxx	xxx	0	0	1
Battle Boots	0	0	3	1	39	47	0	0	95	0	27	0	49	25	8752	49760	xtb	xtb			mbt	mbt	tbt	xtb	utb	0	16	2	2	0	0	0	flptbt	invtbt									0	0	0	0	0	boot		item_bootsmetal	12	item_bootsmetal	0	0	5	0	0	0	0	0	6	0	37	64	240		0	3					255					255					255					255					255					255					255					255					255					255					255					255					255					255					255					255					255			0	8	0	xxx	xxx	0	0	1
War Boots	0	0	4	1	43	53	0	0	125	0	36	0	54	25	10742	59710	xhb	xhb			hbt	hbt	hbt	xhb	uhb	0	16	2	2	0	0	0	flphbt	invhbt									0	0	0	0	0	boot		item_bootsmetal	12	item_bootsmetal	0	0	5	0	0	0	0	0	6	0	39	80	240		0	3					255					255					255					255					255					255					255					255					255					255					255					255					255					255					255					255					255			0	8	0	xxx	xxx	0	0	1
Demonhide Sash	0	0	1	1	29	34	0	0	20	0	18	0	36	24	4952	30760	zlb	zlb			lbl	lbl	lbl	zlb	ulc	0	16	2	1	0	0	0	flplbl	invlbl									0	0	0	0	0	belt		item_lightarmor	12	item_lightarmor	0	0	5	0	0	6	0	0	4	0	0	0			0	1					255					255					255					255					255					255					255					255					255					255					255					255					255					255					255					255					255			0	8	0	xxx	xxx	0	0	1
Sharkskin Belt	0	0	1	1	31	36	0	0	20	0	21	0	39	25	5650	34250	zvb	zvb			vbl	vbl	vbl	zvb	uvc	0	16	2	1	0	0	0	flpvbl	invvbl									0	0	0	0	0	belt		item_belt	12	item_belt	0	0	5	0	0	6	0	0	4	0	0	0			0	1					255					255					255					255					255					255					255					255					255					255					255					255					255					255					255					255					255			0	8	0	xxx	xxx	0	0	1
Mesh Belt	0	0	2	1	35	40	0	0	58	0	24	0	43	25	6872	40360	zmb	zmb			mbl	mbl	mbl	zmb	umc	0	16	2	1	0	0	0	flpmbl	invmbl									0	0	0	0	0	belt		item_belt	12	item_belt	0	0	5	0	0	6	0	0	4	0	0	0			0	1					255					255					255					255					255					255					255					255					255					255					255					255					255					255					255					255					255			0	8	0	xxx	xxx	0	0	1
Battle Belt	0	0	2	1	37	42	0	0	88	0	27	0	49	25	8156	46780	ztb	ztb			mbl	mbl	tbl	ztb	utc	0	16	2	1	0	0	0	flptbl	invtbl									0	0	0	0	0	belt		item_belt	12	item_belt	0	0	5	0	0	6	0	0	4	0	0	0			0	1					255					255					255					255					255					255					255					255					255					255					255					255					255					255					255					255					255			0	8	0	xxx	xxx	0	0	1
War Belt	0	0	3	1	41	52	0	0	110	0	36	0	54	25	10475	58375	zhb	zhb			hbl	hbl	hbl	zhb	uhc	0	16	2	1	0	0	0	flphbl	invhbl									0	0	0	0	0	belt		item_belt	12	item_belt	0	0	5	0	0	6	0	0	4	0	0	0			0	1					255					255					255					255					255					255					255					255					255					255					255					255					255					255					255					255					255			0	8	0	xxx	xxx	0	0	1
Grim Helm	0	0	2	1	60	125	0	0	58	0	60	0	50	25	19142	101710	xh9	xh9			bhm	bhm	bhm	xh9	uh9	0	0	2	2	1	2	1	flpbhm	invbhm	invbhmu	invbhmu							0	0	0	0	0	helm		item_helm	12	item_helm	0	0	5	0	2	0	0	0	3	0	0	0			0	1					255					255					255					255					255					255					255					255					255					255					255					255					255					255					255					255					255			7	8	0	xxx	xxx	0	0	1
Grim Shield	0	0	2	1	50	150	0	0	58	20	105	0	48	25	19872	105360	xsh	xsh			bsh	bsh	bsh	xsh	ush	0	7	2	3	1	2	2	flpbsh	invbsh	invxshu	invxshu							0	0	0	0	0	shie		item_metalshield	12	item_metalshield	0	0	5	0	0	0	0	0	1	0	14	20	200		0	1					255					255					255					255					255					255					255					255					255					255					255					255					255					255					255					255					255			8	8	0	xxx	xxx	0	0	1
Barbed Shield	0	0	3	1	58	78	0	0	65	17	82	0	42	25	11878	65390	xpk	xpk			spk	spk	spk	xpk	upk	0	7	2	3	1	2	2	flpspk	invspk	invxpku	invxpku							0	0	0	0	0	shie		item_metalshield	12	item_metalshield	0	0	5	0	0	0	0	0	1	0	18	35	200		0	1					255					255					255					255					255					255					255					255					255					255					255					255					255					255					255					255					255			8	8	0	xxx	xxx	0	0	1
Expansion																																																																																																																																																																			
Wolf Head	100	0	1	1	8	11	0	0	16	0	30	0	4	3	482	8410	dr1	dr1			dr1	dr1	dr1	dr6	drb	0	0	2	2	1	3	1	flpdr1	invdr1									0	0	0	0	0	pelt		item_helm	12	item_helm	0	0	5	0	0	0	0	0	3	0	0	0			0	1					255					255					255					255					255					255					255					255					255					255					255					255					255					255					255					20					255			8	8	0	xxx	xxx	0	0	1
Hawk Helm	100	0	1	1	4	15	0	0	20	0	30	0	8	6	632	9160	dr2	dr2			dr4	dr4	dr2	dr7	drc	0	0	2	2	1	3	1	flpdr4	invdr2									0	0	0	0	0	pelt		item_helm	12	item_helm	0	0	5	0	0	0	0	0	3	0	0	0			0	1					255					255					255					255					255					255					255					255					255					255					255					255					255					255					255					20					255			8	8	0	xxx	xxx	0	0	1
Antlers	100	0	1	1	18	24	0	0	24	0	30	0	16	12	1716	14580	dr3	dr3			dr3	dr3	dr3	dr8	drd	0	0	2	2	1	3	1	flpdr3	invdr3									0	0	0	0	0	pelt		item_helm	12	item_helm	0	0	5	0	0	0	0	0	3	0	0	0			0	1					255					255					255					255					255					255					255					255					255					255					255					255					255					255					255					20					255			8	8	0	xxx	xxx	0	0	1
Falcon Mask	100	0	1	1	12	28	0	0	28	0	30	0	20	15	1966	15830	dr4	dr4			dr4	dr4	dr4	dr9	dre	0	0	2	2	1	3	1	flpdr4	invdr4									0	0	0	0	0	pelt		item_helm	12	item_helm	0	0	5	0	0	0	0	0	3	0	0	0			0	1					255					255					255					255					255					255					255					255					255					255					255					255					255					255					255					20					255			8	8	0	xxx	xxx	0	0	1
Spirit Mask	100	0	1	1	22	35	0	0	30	0	30	0	24	18	3135	21675	dr5	dr5			dr1	dr1	dr5	dra	drf	0	0	2	2	1	3	1	flpdr1	invdr5									0	0	0	0	0	pelt		item_helm	12	item_helm	0	0	5	0	0	0	0	0	3	0	0	0			0	1					255					255					255					255					255					255					255					255					255					255					255					255					255					255					255					255					255			8	8	0	xxx	xxx	0	0	1
Jawbone Cap	100	0	2	1	10	15	0	0	25	0	38	0	4	3	460	8300	ba1	ba1			ba1	dr1	ba1	ba6	bab	0	0	2	2	1	3	1	flpba1	invba1									0	0	0	0	0	phlm		item_helm	12	item_helm	0	0	5	0	0	0	0	0	3	0	0	0			0	1					255					255					255					255					255					255					255					255					255					255					255					255					255					255					255					20					255			5	8	0	xxx	xxx	0	0	1
Fanged Helm	100	0	2	1	15	20	0	0	35	0	52	0	8	6	675	9375	ba2	ba2			ba1	bhm	ba2	ba7	bac	0	0	2	2	1	3	1	flpba1	invba2									0	0	0	0	0	phlm		item_helm	12	item_helm	0	0	5	0	0	0	0	0	3	0	0	0			0	1					255					255					255					255					255					255					255					255					255					255					255					255					255					255					255					20					255			5	8	0	xxx	xxx	0	0	1
Horned Helm	100	0	2	1	25	30	0	0	45	0	68	0	16	12	1675	14375	ba3	ba3			ba3	bhm	ba3	ba8	bad	0	0	2	2	1	3	1	flpba3	invba3									0	0	0	0	0	phlm		item_helm	12	item_helm	0	0	5	0	0	0	0	0	3	0	0	0			0	3					255					255					255					255					255					255					255					255					255					255					255					255					255					255					255					20					255			5	8	0	xxx	xxx	0	0	1
Assault Helmet	100	0	2	1	30	35	0	0	55	0	75	0	20	15	2010	16050	ba4	ba4			ba5	bhm	ba4	ba9	bae	0	0	2	2	1	3	1	flpba5	invba4									0	0	0	0	0	phlm		item_helm	12	item_helm	0	0	5	0	0	0	0	0	3	0	0	0			0	3					255					255					255					255					255					255					255					255					255					255					255					255					255					255					255					20					255			5	8	0	xxx	xxx	0	0	1
Avenger Guard	100	0	2	1	35	50	0	0	65	0	82	0	24	18	3192	21960	ba5	ba5			ba5	bhm	ba5	baa	baf	0	0	2	2	1	3	1	flpba5	invba5									0	0	0	0	0	phlm		item_helm	12	item_helm	0	0	5	0	0	0	0	0	3	0	0	0			0	3					255					255					255					255					255					255					255					255					255					255					255					255					255					255					255					255					255			5	8	0	xxx	xxx	0	0	1
Targe	100	0	2	1	8	12	0	0	16	10	30	0	4	3	492	8460	pa1	pa1		304	pa1	spk	pa1	pa6	pab	0	7	2	2	1	4	2	flppa1	invpa1									0	0	0	0	0	ashd		item_metalshield	12	item_metalshield	0	0	5	0	1	0	0	0	1	0	2	6	200		0	3					255					255					255					255					255					255					255					255					255					255					255					255					255					255					255					20					255			0	0	0	xxx	xxx	0	0	1
Rondache	100	0	2	1	10	18	0	0	26	15	45	0	8	6	791	9955	pa2	pa2		304	pa1	spk	pa2	pa7	pac	0	7	2	2	1	4	2	flppa1	invpa2									0	0	0	0	0	ashd		item_metalshield	12	item_metalshield	0	0	5	0	2	0	0	0	1	0	2	8	200		0	3					255					255					255					255					255					255					255					255					255					255					255					255					255					255					255					20					255			0	0	0	xxx	xxx	0	0	1
Heraldic Shield	100	0	2	1	16	26	0	0	40	20	60	0	16	12	1708	14540	pa3	pa3		304	pa3	spk	pa3	pa8	pad	0	7	2	4	1	4	2	flppa3	invpa3									0	0	0	0	0	ashd		item_metalshield	12	item_metalshield	0	0	5	0	3	0	0	0	1	0	3	9	200		0	3					255					255					255					255					255					255					255					255					255					255					255					255					255					255					255					20					255			0	0	0	xxx	xxx	0	0	1
Aerin Shield	100	0	2	1	26	36	0	0	50	22	75	0	20	15	2879	20395	pa4	pa4		304	pa3	spk	pa4	pa9	pae	0	7	2	4	1	4	2	flppa3	invpa4									0	0	0	0	0	ashd		item_metalshield	12	item_metalshield	0	0	5	0	4	0	0	0	1	0	4	10	200		0	3					255					255					255					255					255					255					255					255					255					255					255					255					255					255					255					20					255			0	0	0	xxx	xxx	0	0	1
Crown Shield	100	0	2	1	30	40	0	0	65	25	90	0	24	18	3768	24840	pa5	pa5		304	pa5	spk	pa5	paa	paf	0	7	2	2	1	4	2	flppa5	invpa5									0	0	0	0	0	ashd		item_metalshield	12	item_metalshield	0	0	5	0	5	0	0	0	1	0	4	12	200		0	3					255					255					255					255					255					255					255					255					255					255					255					255					255					255					255					255					255			0	0	0	xxx	xxx	0	0	1
Preserved Head	100	0	1	1	2	5	0	0	12	3	30	0	4	3	364	7820	ne1	ne1		305	ne1	dr1	ne1	ne6	neb	0	10	2	2	1	2	2	flpne1	invne1									0	0	0	0	0	head		item_head	12	item_head	0	0	5	0	0	0	0	0	3	0	0	0			0	1					255					255					255					255					255					255					255					255					255					255					255					255					255					255					255					20					255			1	0	0	xxx	xxx	0	0	1
Zombie Head	100	0	1	1	4	8	0	0	14	5	30	0	8	6	509	8545	ne2	ne2		305	ne2	bhm	ne2	ne7	neg	0	10	2	2	1	2	2	flpne2	invne2									0	0	0	0	0	head		item_head	12	item_head	0	0	5	0	0	0	0	0	3	0	0	0			0	1					255					255					255					255					255					255					255					255					255					255					255					255					255					255					255					20					255			1	0	0	xxx	xxx	0	0	1
Unraveller Head	100	0	1	1	6	10	0	0	18	8	30	0	16	12	835	10175	ne3	ne3		305	ne3	bhm	ne3	ne8	ned	0	10	2	2	1	2	2	flpne3	invne3									0	0	0	0	0	head		item_head	12	item_head	0	0	5	0	0	0	0	0	3	0	0	0			0	1					255					255					255					255					255					255					255					255					255					255					255					255					255					255					255					20					255			1	0	0	xxx	xxx	0	0	1
Gargoyle Head	100	0	1	1	10	16	0	0	20	10	30	0	20	15	1382	12910	ne4	ne4		305	ne3	bhm	ne4	ne9	nee	0	10	2	2	1	2	2	flpne3	invne4									0	0	0	0	0	head		item_head	12	item_head	0	0	5	0	0	0	0	0	3	0	0	0			0	1					255					255					255					255					255					255					255					255					255					255					255					255					255					255					255					20					255			1	0	0	xxx	xxx	0	0	1
Demon Head	100	0	1	1	15	20	0	0	25	12	30	0	24	18	2038	16190	ne5	ne5		305	ne2	bhm	ne5	nea	nef	0	10	2	2	1	2	2	flpne2	invne5									0	0	0	0	0	head		item_head	12	item_head	0	0	5	0	0	0	0	0	3	0	0	0			0	1					255					255					255					255					255					255					255					255					255					255					255					255					255					255					255					255					255			1	0	0	xxx	xxx	0	0	1
Circlet	100	0	1	1	20	30	0	0	0	0	52	0	24	16	6300	77777	ci0	ci0	3		lit	lit	ci0			0	0	2	2	1	2	1	flpci0	invci0									0	0	0	0	0	circ		item_helm	12	item_helm	0	0	5	0	0	0	0	0	3	0	0	0			0	3					255					255					255					255					255					255					255					255					255					255					255					255					255					255					255					20					255			1	2	0	xxx	xxx	0	0	1
Coronet	100	0	1	1	30	40	0	0	0	0	45	0	52	39	11800	77777	ci1	ci1	8		lit	lit	ci1	ci2	ci3	0	0	2	2	1	2	1	flpci1	invci1									0	0	0	0	0	circ		item_helm	12	item_helm	0	0	5	0	1	0	0	0	3	0	0	0			0	3					255					255					255					255					255					255					255					255					255					255					255					255					255					255					255					20					255			1	2	0	xxx	xxx	0	0	1
